,RMSE [m],MAE [m],Mean Error [m]
GEBCO,5.24112205081722,4.19323,-3.0251
Kriging Surface,17.669167011792744,12.015846,-11.723323
Kalman Output,6.19173340519722,4.8693213,-3.4692504
