,RMSE [m],MAE [m],Mean Error [m]
GEBCO,4.731510920114018,3.3366377,-0.3554557
Kriging Surface,16.988396667663803,11.388681,-11.056199
Kalman Output,5.9213493335292675,4.0390253,-2.2924876
