,RMSE [m],MAE [m],Mean Error [m]
GEBCO,5.9421840462084035,4.1062193,3.9180417
Kriging Surface,17.41921311643276,11.742788,-11.380109
Kalman Output,4.063281409599713,2.890397,1.9159086
