,RMSE [m],MAE [m],Mean Error [m]
GEBCO,3.94920607205402,2.7182963,0.7537873
Kriging Surface,17.354655917973425,11.557511,-10.980851
Kalman Output,4.018718789366558,2.7456303,-0.17926681
