,RMSE [m],MAE [m],Mean Error [m]
GEBCO,3.4221345985914207,2.4977467,1.4955137
Kriging Surface,17.625157565230978,11.911012,-11.65951
Kalman Output,3.3556526320213766,2.3849354,-0.2524809
