,RMSE [m],MAE [m],Mean Error [m]
Naive Bilinear Interpolation,1.4757187466085118,1.3139333,-1.0094496
Kriged Raster,1.2156655822099165,0.69654816,-0.31499785
Kalman Updated Raster,0.9959420481333496,0.7592683,-0.5028778
