,RMSE [m],MAE [m],Mean Error [m]
GEBCO,3.9816164527772346,2.731507,-0.33939603
Kriging Surface,17.657055429638106,11.968537,-11.763926
Kalman Output,5.1618082317334695,3.2639928,-1.6955563
