,RMSE [m],MAE [m],Mean Error [m]
GEBCO,6.427103777275359,4.2874928,-1.0051196
Kriging Surface,6.54341474692633,3.9034832,-2.6748097
Kalman Output,4.617623503829662,3.1472752,-1.052721
