,RMSE [m],MAE [m],Mean Error [m]
GEBCO,3.73166753071793,2.375371,1.6109805
Kriging Surface,17.408523821971702,11.612896,-11.28536
Kalman Output,2.792149478288447,1.8366832,0.40184247
