,RMSE [m],MAE [m],Mean Error [m]
Naive Bilinear Interpolation,7.479251645029584,5.4521613,1.0329088
Kriged Raster,7.423820417320387,5.849091,-3.5894425
Kalman Updated Raster,5.757963222565086,4.307755,-0.96195287
