,RMSE [m],MAE [m],Mean Error [m]
GEBCO,4.645238362120717,3.398747,-2.846848
Kriging Surface,17.81491811300425,12.110036,-11.942814
Kalman Output,5.69543975980935,3.9098973,-3.3187551
