,RMSE [m],MAE [m],Mean Error [m]
GEBCO,4.997336059446076,3.5213928,2.641574
Kriging Surface,10.368769969771494,6.1945424,-4.939502
Kalman Output,3.55640800674802,2.4462576,0.7117682
